"data";"THB";"USD";"AUD";"HKD";"CAD";"NZD";"SGD";"EUR";"HUF";"CHF";"GBP";"UAH";"JPY";"CZK";"DKK";"ISK";"NOK";"SEK";"HRK";"RON";"BGN";"TRY";"ILS";"CLP";"PHP";"MXN";"ZAR";"BRL";"MYR";"RUB";"IDR";"INR";"KRW";"CNY";"XDR"
2022-02-21;0,1236;3,9769;2,8697;0,5099;3,1222;2,6744;2,9556;4,5193;1,2692;4,3328;5,4227;0,1397;3,4623;0,186;0,6074;3,2052;0,4442;0,4251;0,5997;0,914;2,3107;0,2918;1,2438;0,4963;0,0774;0,1963;0,2626;0,7741;0,9515;0,0517;2,7757;5,3372;0,3338;0,6278;5,5855
2022-02-22;0,1238;4,012;2,8919;0,5143;3,1485;2,6933;2,9786;4,5416;1,2716;4,3676;5,4482;0,1387;3,4956;0,1856;0,6104;3,2028;0,4489;0,4273;0,6026;0,9183;2,3221;0,2916;1,2425;0,5024;0,078;0,1973;0,264;0,7861;0,9585;0,0503;2,7932;5,3586;0,3361;0,6335;5,613
2022-02-23;0,1238;3,9937;2,9013;0,5118;3,1419;2,7145;2,9707;4,5352;1,2725;4,3401;5,4333;0,1365;3,4706;0,1853;0,6097;3,2074;0,4512;0,4284;0,6018;0,9169;2,3188;0,2894;1,2411;0,5038;0,0782;0,1973;0,266;0,7895;0,9542;0,0503;2,7855;5,3561;0,3356;0,6324;5,6063
2022-02-24;0,1268;4,1281;2,9617;0,5287;3,2198;2,7679;3,0514;4,6284;1,2697;4,4808;5,546;0,1381;3,5981;0,1862;0,622;3,2594;0,4569;0,432;0,6136;0,9351;2,3664;0,2907;1,2638;0,5218;0,0804;0,2027;0,2707;0,8239;0,9826;0,049;2,8702;5,4562;0,3429;0,653;5,7219
2022-02-25;0,1283;4,1683;3,0009;0,5339;3,2545;2,7963;3,078;4,6608;1,2656;4,5001;5,5751;0,1381;3,6146;0,188;0,6263;3,2915;0,4648;0,438;0,6172;0,942;2,383;0,2962;1,2789;0,5104;0,0812;0,2039;0,2727;0,8136;0,9925;0,0499;2,9013;5,5369;0,3466;0,66;5,821
2022-02-28;0,1284;4,1965;3,0216;0,537;3,2864;2,8181;3,0889;4,6909;1,2687;4,5483;5,6131;0,1381;3,6313;0,188;0,6304;3,3175;0,4711;0,4411;0,62;0,9479;2,3984;0,3031;1,2942;0,5231;0,0819;0,204;0,2717;0,8127;0,9995;0,0419;2,921;5,5688;0,349;0,6652;5,8312
2022-03-01;0,1294;4,2193;3,069;0,5398;3,3305;2,8571;3,1147;4,7241;1,2675;4,6037;5,6593;0,1381;3,6759;0,1873;0,6351;3,3315;0,4782;0,4419;0,6243;0,9547;2,4154;0,3029;1,3099;0,5279;0,0822;0,206;0,2745;0,8177;1,0063;0,0447;2,9429;5,5948;0,3514;0,6683;5,884
2022-03-02;0,1325;4,3302;3,1426;0,554;3,407;2,9279;3,1888;4,7989;1,262;4,7212;5,7631;0,1381;3,7587;0,1879;0,6451;3,3559;0,4839;0,4445;0,6338;0,9697;2,4536;0,3076;1,3421;0,5368;0,0842;0,2091;0,2794;0,8391;1,0321;0,0396;3,0099;5,7205;0,3587;0,6858;5,9964
2022-03-03;0,1326;4,3257;3,1578;0,5537;3,4262;2,9308;3,1837;4,7931;1,2665;4,7028;5,7881;0,1381;3,736;0,1859;0,6442;3,3518;0,4863;0,4457;0,6335;0,9685;2,4506;0,3064;1,336;0,5375;0,0837;0,209;0,2825;0,8482;1,0333;0,0371;3,0068;5,6981;0,358;0,6845;6,0014
2022-03-04;0,1344;4,391;3,2278;0,5617;3,449;2,9984;3,2294;4,8363;1,2671;4,7787;5,8413;0,1381;3,8044;0,1888;0,6501;3,3726;0,491;0,4479;0,6395;0,977;2,4727;0,309;1,3507;0,5516;0,0847;0,2113;0,286;0,8726;1,051;0,038;3,052;5,7652;0,3612;0,6952;6,0686
