"data";"USD";"EUR"
"2022-09-23";4.8796;4.7591
"2022-09-26";4.9113;4.7566
"2022-09-27";4.9476;4.7616
"2022-09-28";5.0381;4.8147
"2022-09-29";5.0328;4.8637
"2022-09-30";4.9533;4.8698
"2022-10-03";4.9207;4.8272
"2022-10-04";4.8615;4.8007
"2022-10-05";4.838;4.8128
"2022-10-06";4.8989;4.8445
"2022-10-07";4.9588;4.8606
"2022-10-10";5.0239;4.8677
"2022-10-11";5.0171;4.8711
"2022-10-12";5.0014;4.8536
"2022-10-13";4.9905;4.8468
"2022-10-14";4.9569;4.833
"2022-10-17";4.9522;4.8229
"2022-10-18";4.8929;4.8092
"2022-10-19";4.8892;4.7997
"2022-10-20";4.9024;4.7955
"2022-10-21";4.9;4.7804
"2022-10-24";4.8669;4.7866
"2022-10-25";4.8499;4.7805
"2022-10-26";4.7538;4.7723
"2022-10-27";4.7216;4.7504
"2022-10-28";4.7477;4.7199
"2022-10-31";4.734;4.7089
"2022-11-02";4.7485;4.7039
"2022-11-03";4.8291;4.7101
"2022-11-04";4.7975;4.6898
"2022-11-07";4.6926;4.6858
"2022-11-08";4.6893;4.6912
"2022-11-09";4.6817;4.7037
"2022-11-10";4.7328;4.7146
"2022-11-14";4.5383;4.6794
"2022-11-15";4.5143;4.6985
"2022-11-16";4.505;4.6942
"2022-11-17";4.5387;4.7039
"2022-11-18";4.5337;4.7067
"2022-11-21";4.5991;4.7035
"2022-11-22";4.5844;4.7075
"2022-11-23";4.548;4.6958
"2022-11-24";4.5101;4.6993
"2022-11-25";4.5111;4.6884
"2022-11-28";4.4827;4.6835
"2022-11-29";4.5164;4.6813
"2022-11-30";4.5066;4.6684
"2022-12-01";4.4911;4.6892
"2022-12-02";4.4492;4.685
"2022-12-05";4.4415;4.6898
"2022-12-06";4.4787;4.6995
"2022-12-07";4.4834;4.6968
"2022-12-08";4.476;4.6976
"2022-12-09";4.4351;4.6821
