Data;Godzina;Generacja.zrodel.wiatrowych;Generacja.zrodel.fotowoltaicznych
2015-09-12;15;1053,463;-
2015-09-12;16;1039,700;-
2015-09-12;17;1061,200;-
2015-09-12;18;1046,425;-
2015-09-12;19;1079,475;-
2015-09-12;20;1216,113;-
2015-09-12;21;1381,700;-
2015-09-12;22;1325,313;-
2015-09-12;23;1235,763;-
2015-09-12;24;1185,950;-
2015-09-13;1;1122,750;-
2015-09-13;2;1085,925;-
2015-09-13;3;1054,175;-
2015-09-13;4;1051,663;-
2015-09-13;5;1064,925;-
2015-09-13;6;1101,438;-
2015-09-13;7;1141,075;-
2015-09-13;8;1180,738;-
2015-09-13;9;1214,663;-
2015-09-13;10;1261,675;-
2015-09-13;11;1322,325;-
2015-09-13;12;1312,750;-
2015-09-13;13;1447,100;-
2015-09-13;14;1569,075;-
2015-09-13;15;1606,550;-
2015-09-13;16;1653,900;-
2015-09-13;17;1695,025;-
2015-09-13;18;1693,513;-
2015-09-13;19;1984,713;-
2015-09-13;20;2365,513;-
2015-09-13;21;2624,113;-
2015-09-13;22;2774,313;-
2015-09-13;23;2659,788;-
2015-09-13;24;2521,675;-
2015-09-14;1;2461,325;-
2015-09-14;2;2460,713;-
2015-09-14;3;2467,888;-
2015-09-14;4;2488,300;-
2015-09-14;5;2488,238;-
2015-09-14;6;2458,138;-
2015-09-14;7;2462,438;-
2015-09-14;8;2390,400;-
2015-09-14;9;2369,775;-
2015-09-14;10;2335,238;-
2015-09-14;11;2429,363;-
2015-09-14;12;2820,363;-
2015-09-14;13;3147,200;-
2015-09-14;14;3175,638;-
2015-09-14;15;2937,425;-
2015-09-14;16;2784,313;-
2015-09-14;17;2556,100;-
2015-09-14;18;2389,550;-
2015-09-14;19;2265,275;-
2015-09-14;20;2236,225;-
2015-09-14;21;2097,350;-
2015-09-14;22;1994,200;-
2015-09-14;23;1720,400;-
2015-09-14;24;1579,763;-
2015-09-15;1;1435,013;-
2015-09-15;2;1298,524;-
2015-09-15;3;1321,361;-
2015-09-15;4;1428,723;-
2015-09-15;5;1524,901;-
2015-09-15;6;1556,400;-
2015-09-15;7;1494,639;-
2015-09-15;8;1290,587;-
2015-09-15;9;973,663;-
2015-09-15;10;717,699;-
2015-09-15;11;636,173;-
2015-09-15;12;649,787;-
2015-09-15;13;726,724;-
2015-09-15;14;718,135;-
2015-09-15;15;744,362;-
2015-09-15;16;778,836;-
2015-09-15;17;686,386;-
2015-09-15;18;587,112;-
2015-09-15;19;644,802;-
2015-09-15;20;736,812;-
2015-09-15;21;857,313;-
2015-09-15;22;894,075;-
2015-09-15;23;684,677;-
2015-09-15;24;574,360;-
2015-09-16;1;514,213;-
2015-09-16;2;490,400;-
2015-09-16;3;443,238;-
2015-09-16;4;348,988;-
2015-09-16;5;248,413;-
2015-09-16;6;246,538;-
2015-09-16;7;290,700;-
2015-09-16;8;374,388;-
2015-09-16;9;360,225;-
2015-09-16;10;331,450;-
2015-09-16;11;278,425;-
2015-09-16;12;292,550;-
2015-09-16;13;400,763;-
2015-09-16;14;465,513;-
2015-09-16;15;514,538;-
2015-09-16;16;570,125;-
2015-09-16;17;646,038;-
2015-09-16;18;599,688;-
2015-09-16;19;706,700;-
2015-09-16;20;844,025;-
2015-09-16;21;976,688;-
2015-09-16;22;1225,688;-
2015-09-16;23;1416,813;-
2015-09-16;24;1411,638;-
2015-09-17;1;1312,200;-
2015-09-17;2;1312,300;-
2015-09-17;3;1382,063;-
2015-09-17;4;1512,300;-
2015-09-17;5;1453,750;-
2015-09-17;6;1287,588;-
2015-09-17;7;1153,375;-
2015-09-17;8;1037,050;-
2015-09-17;9;782,488;-
2015-09-17;10;517,663;-
2015-09-17;11;446,738;-
2015-09-17;12;604,925;-
2015-09-17;13;857,838;-
2015-09-17;14;894,238;-
2015-09-17;15;924,738;-
2015-09-17;16;939,150;-
2015-09-17;17;1012,063;-
2015-09-17;18;912,275;-
2015-09-17;19;867,938;-
2015-09-17;20;972,275;-
2015-09-17;21;1328,600;-
2015-09-17;22;1721,588;-
2015-09-17;23;2217,063;-
2015-09-17;24;2269,825;-
2015-09-18;1;2327,513;-
2015-09-18;2;2322,600;-
2015-09-18;3;2146,325;-
2015-09-18;4;2264,625;-
2015-09-18;5;2294,875;-
2015-09-18;6;2052,613;-
2015-09-18;7;1872,113;-
2015-09-18;8;1625,963;-
2015-09-18;9;1490,188;-
2015-09-18;10;1365,625;-
2015-09-18;11;1199,350;-
2015-09-18;12;1087,663;-
2015-09-18;13;1054,788;-
2015-09-18;14;994,550;-
2015-09-18;15;846,075;-
2015-09-18;16;664,938;-
2015-09-18;17;511,263;-
2015-09-18;18;429,888;-
2015-09-18;19;370,138;-
2015-09-18;20;397,338;-
