Data;Godzina;Krajowe.zapotrzebowanie.na.moc;Sumaryczna.generacja.JWCD;Generacja.PI;Generacja.IRZ;Sumaryczna.generacja.nJWCD;Krajowe.saldo.wymiany.miedzysystemowej.rownoleglej;Krajowe.saldo.wymiany.miedzysystemowej.nierownoleglej
2020-03-25;15;19952,600;10449,988;186,113;0,000;6756,825;1428,538;1320,863
2020-03-25;16;19845,938;10207,338;-2,813;0,000;6846,675;1478,675;1313,838
2020-03-25;17;19931,925;10208,150;73,875;0,000;6911,488;1498,150;1316,725
2020-03-25;18;20226,238;10561,225;103,425;0,000;6972,975;1402,375;1297,338
2020-03-25;19;21399,538;11383,300;123,613;0,000;7491,625;1401,038;1113,463
2020-03-25;20;22000,925;11333,188;28,088;0,000;8095,225;1340,038;1234,113
2020-03-25;21;21508,863;10856,400;14,375;0,000;8519,300;998,750;1148,263
2020-03-25;22;20189,400;10067,750;-3,125;0,000;8582,850;584,525;968,975
2020-03-25;23;18941,175;9387,963;-8,613;0,000;8488,550;295,238;785,513
2020-03-25;24;17830,600;8852,150;-9,413;0,000;8355,025;13,413;630,188
2020-03-26;1;17016,563;8320,838;-9,350;0,000;8241,913;-68,475;538,700
2020-03-26;2;16380,850;8112,988;-9,513;0,000;7933,675;-232,225;582,725
2020-03-26;3;15992,513;7975,475;-9,250;0,000;7647,225;-217,150;600,600
2020-03-26;4;15931,988;8263,500;-130,250;0,000;7440,838;-179,375;540,088
2020-03-26;5;16172,563;8520,050;-259,363;0,000;7391,338;67,788;452,638
2020-03-26;6;16188,750;8746,800;-326,088;0,000;7377,375;-57,100;453,550
2020-03-26;7;17930,475;9850,863;-80,088;0,000;7284,100;406,513;473,775
2020-03-26;8;19768,213;11883,225;-5,938;0,000;6726,775;597,613;563,313
2020-03-26;9;20545,813;12620,275;-6,038;0,000;6220,913;825,263;880,888
2020-03-26;10;20613,613;12321,575;92,038;0,000;6125,000;1085,013;1090,413
2020-03-26;11;20378,063;11369,988;123,988;0,000;6428,475;1457,338;1144,775
2020-03-26;12;20468,800;10921,275;108,525;0,000;6765,138;1487,000;1313,000
2020-03-26;13;20485,200;10956,088;73,175;0,000;6819,600;1478,100;1234,475
2020-03-26;14;20558,088;11311,838;276,963;0,000;6656,200;1373,338;1228,363
2020-03-26;15;20148,063;10919,850;91,300;0,000;6610,500;1332,300;1289,788
2020-03-26;16;20044,675;10724,663;49,250;0,000;6762,625;1243,438;1322,188
2020-03-26;17;19892,225;10607,863;49,125;0,000;6734,550;1225,438;1333,513
2020-03-26;18;20003,538;10789,500;111,400;0,000;6520,900;1369,988;1329,363
2020-03-26;19;21133,763;11427,700;102,763;0,000;7038,850;1413,013;1243,538
2020-03-26;20;21662,075;11513,500;102,350;0,000;7551,450;1277,013;1324,088
2020-03-26;21;21012,000;11048,775;22,413;0,000;7653,500;1014,750;1311,000
2020-03-26;22;19741,563;10148,963;-6,700;0,000;7678,988;839,725;1093,863
2020-03-26;23;18517,900;9551,813;-9,225;0,000;7578,275;389,863;1011,288
2020-03-26;24;17363,663;8961,763;-11,550;0,000;7533,150;-50,988;941,088
2020-03-27;1;16486,500;8411,250;-13,338;0,000;7456,225;130,350;505,288
2020-03-27;2;16018,400;8409,525;-98,938;0,000;7509,725;-310,850;516,613
2020-03-27;3;15759,313;8451,313;-370,850;0,000;7417,438;-266,613;529,238
2020-03-27;4;15699,050;8421,238;-401,988;0,000;7279,300;-85,938;486,775
2020-03-27;5;15851,200;8385,300;-401,263;0,000;7164,475;284,613;420,350
2020-03-27;6;15838,825;8057,088;-400,675;0,000;7165,188;427,563;597,900
